Player,Year,Tm,G,GS,Tgt,Receptions,Yds,Rec Y/R,TD,Rec Y/G,Rec Ctch%,Y/Tgt
Mike Evans,2015,TAM,15,14,148,74,1206,16.3,3,80.4,50.00%,8.15
Mike Evans,2016,TAM,16,16,173,96,1321,13.76,12,82.6,55.50%,7.64
Mike Evans,2017,TAM,15,15,136,71,1001,14.1,5,66.7,52.20%,7.36
Mike Evans,2018,TAM,16,16,138,86,1524,17.72,8,95.3,62.30%,11.04
Mike Evans,2019,TAM,13,13,118,67,1157,17.27,8,89,56.80%,9.81
Quincy Enunwa,2016,NYJ,16,13,105,58,857,14.78,4,53.6,55.20%,8.16
Braylon Edwards,2010,NYJ,16,15,101,53,904,17.06,7,56.5,52.50%,8.95
Julian Edelman,2013,NWE,16,11,151,105,1056,10.06,6,66,69.50%,6.99
Julian Edelman,2014,NWE,14,13,134,92,972,10.57,4,69.4,68.70%,7.25
Julian Edelman,2016,NWE,16,13,159,98,1106,11.29,3,69.1,61.60%,6.96
Julian Edelman,2018,NWE,12,12,108,74,850,11.49,6,70.8,68.50%,7.87
Julian Edelman,2019,NWE,16,13,153,100,1117,11.17,6,69.8,65.40%,7.3
Harry Douglas,2013,ATL,16,11,132,85,1067,12.55,2,66.7,64.40%,8.08
Stefon Diggs,2015,MIN,13,9,84,52,720,13.85,4,55.4,61.90%,8.57
Stefon Diggs,2016,MIN,13,11,112,84,903,10.75,3,69.5,75.00%,8.06
Stefon Diggs,2017,MIN,14,14,95,64,849,13.27,8,60.6,67.40%,8.94
Stefon Diggs,2018,MIN,15,14,149,102,1021,10.01,9,68.1,68.50%,6.85
Stefon Diggs,2019,MIN,15,15,94,63,1130,17.94,6,75.3,67.00%,12.02
Eric Decker,2012,DEN,16,15,122,85,1064,12.52,13,66.5,69.70%,8.72
Eric Decker,2013,DEN,16,16,136,87,1288,14.8,11,80.5,64.00%,9.47
Eric Decker,2014,NYJ,15,15,115,74,962,13,5,64.1,64.30%,8.37
Eric Decker,2015,NYJ,15,13,132,80,1027,12.84,12,68.5,60.60%,7.78
Corey Davis,2018,TEN,16,16,112,65,891,13.71,4,55.7,58.00%,7.96
Victor Cruz,2011,NYG,16,7,131,82,1536,18.73,9,96,62.60%,11.73
Victor Cruz,2012,NYG,16,16,143,86,1092,12.7,10,68.3,60.10%,7.64
Victor Cruz,2013,NYG,14,12,122,73,998,13.67,4,71.3,59.80%,8.18
Jamison Crowder,2016,WAS,16,9,99,67,847,12.64,7,52.9,67.70%,8.56
Jamison Crowder,2017,WAS,15,6,103,66,789,11.95,3,52.6,64.10%,7.66
Jamison Crowder,2019,NYJ,16,12,122,78,833,10.68,6,52.1,63.90%,6.83
Michael Crabtree,2010,SFO,16,15,101,55,741,13.47,6,46.3,54.50%,7.34
Michael Crabtree,2011,SFO,15,14,115,72,874,12.14,4,58.3,62.60%,7.6
Michael Crabtree,2012,SFO,16,16,127,85,1105,13,9,69.1,66.90%,8.7
Michael Crabtree,2015,OAK,16,15,146,85,922,10.85,9,57.6,58.20%,6.32
Michael Crabtree,2016,OAK,16,16,145,89,1003,11.27,8,62.7,61.40%,6.92
Riley Cooper,2013,PHI,16,15,84,47,835,17.77,8,52.2,56.00%,9.94
Amari Cooper,2015,OAK,16,15,130,72,1070,14.86,6,66.9,55.40%,8.23
Amari Cooper,2016,OAK,16,14,132,83,1153,13.89,5,72.1,62.90%,8.73
Amari Cooper,2018,2TM,15,15,107,75,1005,13.4,7,67,70.10%,9.39
Amari Cooper,2019,DAL,16,16,119,79,1189,15.05,8,74.3,66.40%,9.99
Brandin Cooks,2015,NOR,16,13,129,84,1138,13.55,9,71.1,65.10%,8.82
Brandin Cooks,2016,NOR,16,12,117,78,1173,15.04,8,73.3,66.70%,10.03
Brandin Cooks,2017,NWE,16,15,114,65,1082,16.65,7,67.6,57.00%,9.49
Brandin Cooks,2018,LAR,16,16,117,80,1204,15.05,5,75.3,68.40%,10.29
Chris Conley,2019,JAX,16,14,90,47,775,16.49,5,48.4,52.20%,8.61
Marques Colston,2010,NOR,15,11,131,84,1023,12.18,7,68.2,64.10%,7.81
Marques Colston,2011,NOR,14,7,107,80,1143,14.29,8,81.6,74.80%,10.68
Marques Colston,2012,NOR,16,13,130,83,1154,13.9,10,72.1,63.80%,8.88
Marques Colston,2013,NOR,15,11,111,75,943,12.57,5,62.9,67.60%,8.5
Marques Colston,2014,NOR,16,13,100,59,902,15.29,5,56.4,59.00%,9.02
Keelan Cole,2017,JAX,16,6,83,42,748,17.81,3,46.8,50.60%,9.01
Randall Cobb,2012,GNB,15,8,104,80,954,11.93,8,63.6,76.90%,9.17
Randall Cobb,2014,GNB,16,16,127,91,1287,14.14,12,80.4,71.70%,10.13
Randall Cobb,2015,GNB,16,15,129,79,829,10.49,6,51.8,61.20%,6.43
Randall Cobb,2019,DAL,15,6,83,55,828,15.05,3,55.2,66.30%,9.98
DJ Chark,2019,JAX,15,14,118,73,1008,13.81,8,67.2,61.90%,8.54
Nate Burleson,2011,DET,16,11,110,73,757,10.37,3,47.3,66.40%,6.88
Martavis Bryant,2015,PIT,11,5,92,50,765,15.3,6,69.5,54.30%,8.32
Dez Bryant,2011,DAL,15,13,103,63,928,14.73,9,61.9,61.20%,9.01
Dez Bryant,2012,DAL,16,14,138,92,1382,15.02,12,86.4,66.70%,10.01
Dez Bryant,2013,DAL,16,16,159,93,1233,13.26,13,77.1,58.50%,7.75
Dez Bryant,2014,DAL,16,16,136,88,1320,15,16,82.5,64.70%,9.71
Dez Bryant,2016,DAL,13,13,96,50,796,15.92,8,61.2,52.10%,8.29
Dez Bryant,2017,DAL,16,16,132,69,838,12.14,6,52.4,52.30%,6.35
John Brown,2015,ARI,15,11,101,65,1003,15.43,7,66.9,64.40%,9.93
John Brown,2018,BAL,16,15,97,42,715,17.02,5,44.7,43.30%,7.37
John Brown,2019,BUF,15,15,115,72,1060,14.72,6,70.7,62.60%,9.22
Antonio Brown,2011,PIT,16,3,124,69,1108,16.06,2,69.3,55.60%,8.94
Antonio Brown,2012,PIT,13,10,106,66,787,11.92,5,60.5,62.30%,7.42
Antonio Brown,2013,PIT,16,14,167,110,1499,13.63,8,93.7,65.90%,8.98
Antonio Brown,2014,PIT,16,16,181,129,1698,13.16,13,106.1,71.30%,9.38
Antonio Brown,2015,PIT,16,16,193,136,1834,13.49,10,114.6,70.50%,9.5
Antonio Brown,2016,PIT,15,15,154,106,1284,12.11,12,85.6,68.80%,8.34
Antonio Brown,2017,PIT,14,14,163,101,1533,15.18,9,109.5,62.00%,9.4
Antonio Brown,2018,PIT,15,15,168,104,1297,12.47,15,86.5,61.90%,7.72
A.J. Brown,2019,TEN,16,11,84,52,1051,20.21,8,65.7,61.90%,12.51
Kenny Britt,2010,TEN,12,7,73,42,775,18.45,9,64.6,57.50%,10.62
Kenny Britt,2014,STL,16,13,84,48,748,15.58,3,46.8,57.10%,8.9
Kenny Britt,2016,LAR,15,15,111,68,1002,14.74,5,66.8,61.30%,9.03
Steve Breaston,2010,ARI,13,11,87,47,718,15.28,1,55.2,54.00%,8.25
Steve Breaston,2011,KAN,16,13,98,61,785,12.87,2,49.1,62.20%,8.01
Deion Branch,2010,2TM,15,12,92,61,818,13.41,6,54.5,66.30%,8.89
Deion Branch,2011,NWE,15,15,90,51,702,13.76,5,46.8,56.70%,7.8
Tyler Boyd,2018,CIN,14,14,108,76,1028,13.53,7,73.4,70.40%,9.52
Tyler Boyd,2019,CIN,16,15,148,90,1046,11.62,5,65.4,60.80%,7.07
Dwayne Bowe,2010,KAN,16,16,133,72,1162,16.14,15,72.6,54.10%,8.74
Dwayne Bowe,2011,KAN,16,14,142,81,1159,14.31,5,72.4,57.00%,8.16
Dwayne Bowe,2012,KAN,13,12,114,59,801,13.58,3,61.6,51.80%,7.03
Dwayne Bowe,2014,KAN,15,15,95,60,754,12.57,0,50.3,63.20%,7.94
Anquan Boldin,2010,BAL,16,16,109,64,837,13.08,7,52.3,58.70%,7.68
Anquan Boldin,2011,BAL,14,14,106,57,887,15.56,3,63.4,53.80%,8.37
Anquan Boldin,2012,BAL,15,15,112,65,921,14.17,4,61.4,58.00%,8.22
Anquan Boldin,2013,SFO,16,16,129,85,1179,13.87,7,73.7,65.90%,9.14
Anquan Boldin,2014,SFO,16,16,130,83,1062,12.8,5,66.4,63.80%,8.17
Anquan Boldin,2015,SFO,14,13,111,69,789,11.43,4,56.4,62.20%,7.11
Justin Blackmon,2012,JAX,16,14,132,64,865,13.52,5,54.1,48.50%,6.55
Davone Bess,2010,MIA,16,8,125,79,820,10.38,5,51.3,63.20%,6.56
Davone Bess,2012,MIA,13,13,104,61,778,12.75,1,59.8,58.70%,7.48
Travis Benjamin,2015,CLE,16,15,125,68,966,14.21,5,60.4,54.40%,7.73
Kelvin Benjamin,2014,CAR,16,15,145,73,1008,13.81,9,63,50.30%,6.95
,,,,,,,,,,,,
,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Player,Year,Tm,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
Kelvin Benjamin,2016,CAR,16,13,118,63,941,14.94,7,58.8,53.40%,7.97
Odell Beckham,2014,NYG,12,11,130,91,1305,14.34,12,108.8,70.00%,10.04
Odell Beckham,2015,NYG,15,15,158,96,1450,15.1,13,96.7,60.80%,9.18
Odell Beckham,2016,NYG,16,16,169,101,1367,13.53,10,85.4,59.80%,8.09
Odell Beckham,2018,NYG,12,12,124,77,1052,13.66,6,87.7,62.10%,8.48
Odell Beckham,2019,CLE,16,15,133,74,1035,13.99,4,64.7,55.60%,7.78
Cole Beasley,2016,DAL,16,6,98,75,833,11.11,5,52.1,76.50%,8.5
Cole Beasley,2019,BUF,15,10,106,67,778,11.61,6,51.9,63.20%,7.34
Doug Baldwin,2011,SEA,16,1,85,51,788,15.45,4,49.3,60.00%,9.27
Doug Baldwin,2013,SEA,16,9,72,50,778,15.56,5,48.6,69.40%,10.81
Doug Baldwin,2014,SEA,16,16,98,66,825,12.5,3,51.6,67.30%,8.42
Doug Baldwin,2015,SEA,16,16,103,78,1069,13.71,14,66.8,75.70%,10.38
Doug Baldwin,2016,SEA,16,15,125,94,1128,12,7,70.5,75.20%,9.02
Doug Baldwin,2017,SEA,16,16,116,75,991,13.21,8,61.9,64.70%,8.54
Donnie Avery,2012,IND,16,15,124,60,781,13.02,3,48.8,48.40%,6.3
Miles Austin,2010,DAL,16,16,119,69,1041,15.09,7,65.1,58.00%,8.75
Miles Austin,2012,DAL,16,15,119,66,943,14.29,6,58.9,55.50%,7.92
Anthony Armstrong,2010,WAS,15,11,86,44,871,19.8,3,58.1,51.20%,10.13
Robby Anderson,2017,NYJ,16,15,114,63,941,14.94,7,58.8,55.30%,8.25
Robby Anderson,2018,NYJ,14,9,94,50,752,15.04,6,53.7,53.20%,8
Robby Anderson,2019,NYJ,16,15,96,52,779,14.98,5,48.7,54.20%,8.11
Keenan Allen,2013,SDG,15,14,105,71,1046,14.73,8,69.7,67.60%,9.96
Keenan Allen,2014,SDG,14,14,121,77,783,10.17,4,55.9,63.60%,6.47
Keenan Allen,2015,SDG,8,8,89,67,725,10.82,4,90.6,75.30%,8.15
Keenan Allen,2017,LAC,16,15,159,102,1393,13.66,6,87.1,64.20%,8.76
Keenan Allen,2018,LAC,16,14,136,97,1196,12.33,6,74.8,71.30%,8.79
Keenan Allen,2019,LAC,16,16,149,104,1199,11.53,6,74.9,69.80%,8.05
Kamar Aiken,2015,BAL,16,14,127,75,944,12.59,5,59,59.10%,7.43
Nelson Agholor,2017,PHI,16,10,95,62,768,12.39,8,48,65.30%,8.08
Nelson Agholor,2018,PHI,16,16,97,64,736,11.5,4,46,66.00%,7.59
Davante Adams,2016,GNB,16,15,121,75,997,13.29,12,62.3,62.00%,8.24
Davante Adams,2017,GNB,14,14,117,74,885,11.96,10,63.2,63.20%,7.56
Davante Adams,2018,GNB,15,15,169,111,1386,12.49,13,92.4,65.70%,8.2
Davante Adams,2019,GNB,12,12,127,83,997,12.01,5,83.1,65.40%,7.85
