Player,Year,Tm,Lg,G,GS,Tgt,Rec,Yds,Rec Y/R,Rec TD,Rec Y/G,Rec Ctch%,Rec Y/Tgt
Ed Dickson,2011,BAL,NFL,16,16,89,54,528,9.78,5,33,60.70%,5.93
Ed Dickson,2013,BAL,NFL,16,14,43,25,273,10.92,1,17.1,58.10%,6.35
Ed Dickson,2017,CAR,NFL,16,12,48,30,437,14.57,1,27.3,62.50%,9.1
Seth Devalve,2017,CLE,NFL,16,4,58,33,395,11.97,1,24.7,56.90%,6.81
Vernon Davis,2018,WAS,NFL,14,8,36,25,367,14.68,2,26.2,69.40%,10.19
Vernon Davis,2014,SFO,NFL,14,14,50,26,245,9.42,2,17.5,52.00%,4.9
Vernon Davis,2015,2TM,NFL,15,9,58,38,395,10.39,0,26.3,65.50%,6.81
Vernon Davis,2010,SFO,NFL,16,16,93,56,914,16.32,7,57.1,60.20%,9.83
Vernon Davis,2011,SFO,NFL,16,16,95,67,792,11.82,6,49.5,70.50%,8.34
Vernon Davis,2016,WAS,NFL,16,14,59,44,583,13.25,2,36.4,74.60%,9.88
Vernon Davis,2012,SFO,NFL,16,16,61,41,548,13.37,5,34.3,67.20%,8.98
Vernon Davis,2017,WAS,NFL,16,16,69,43,648,15.07,3,40.5,62.30%,9.39
Vernon Davis,2013,SFO,NFL,15,15,84,52,850,16.35,13,56.7,61.90%,10.12
Fred Davis,2011,WAS,NFL,12,12,88,59,796,13.49,3,66.3,67.00%,9.05
Owen Daniels,2012,HOU,NFL,15,14,104,62,716,11.55,6,47.7,59.60%,6.88
Owen Daniels,2014,BAL,NFL,15,13,79,48,527,10.98,4,35.1,60.80%,6.67
Owen Daniels,2015,DEN,NFL,16,16,77,46,517,11.24,3,32.3,59.70%,6.71
Owen Daniels,2010,HOU,NFL,11,10,68,38,471,12.39,2,42.8,55.90%,6.93
Owen Daniels,2011,HOU,NFL,15,15,85,54,677,12.54,3,45.1,63.50%,7.96
,,,,,,,,,,,,,
,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Player,Year,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
Jeff Cumberland,2013,NYJ,NFL,15,12,40,26,398,15.31,4,26.5,65.00%,9.95
Jeff Cumberland,2012,NYJ,NFL,15,12,53,29,359,12.38,3,23.9,54.70%,6.77
Chris Cooley,2010,WAS,NFL,16,16,126,77,849,11.03,3,53.1,61.10%,6.74
Jared Cook,2018,OAK,NFL,16,14,101,68,896,13.18,6,56,67.30%,8.87
Jared Cook,2011,TEN,NFL,16,5,81,49,759,15.49,3,47.4,60.50%,9.37
Jared Cook,2019,NOR,NFL,14,7,65,43,705,16.4,9,50.4,66.20%,10.85
Jared Cook,2012,TEN,NFL,13,5,73,44,523,11.89,4,40.2,60.30%,7.16
Jared Cook,2016,GNB,NFL,10,5,51,30,377,12.57,1,37.7,58.80%,7.39
Jared Cook,2013,STL,NFL,16,13,85,51,671,13.16,5,41.9,60.00%,7.89
Jared Cook,2014,STL,NFL,16,6,99,52,634,12.19,3,39.6,52.50%,6.4
Jared Cook,2015,STL,NFL,16,12,75,39,481,12.33,0,30.1,52.00%,6.41
Jared Cook,2017,OAK,NFL,16,16,86,54,688,12.74,2,43,62.80%,8
Jared Cook,2010,TEN,NFL,16,1,45,29,361,12.45,1,22.6,64.40%,8.02
Charles Clay,2013,MIA,NFL,16,15,102,69,759,11,6,47.4,67.60%,7.44
Charles Clay,2014,MIA,NFL,14,14,84,58,605,10.43,3,43.2,69.00%,7.2
Charles Clay,2015,BUF,NFL,13,13,77,51,528,10.35,3,40.6,66.20%,6.86
Charles Clay,2016,BUF,NFL,15,15,87,57,552,9.68,4,36.8,65.50%,6.34
Charles Clay,2017,BUF,NFL,13,13,74,49,558,11.39,2,42.9,66.20%,7.54
Dallas Clark,2012,TAM,NFL,16,7,75,47,435,9.26,4,27.2,62.70%,5.8
Dallas Clark,2013,BAL,NFL,12,0,52,31,343,11.06,3,28.6,59.60%,6.6
Dallas Clark,2010,IND,NFL,6,6,53,37,347,9.38,3,57.8,69.80%,6.55
Dallas Clark,2011,IND,NFL,11,10,65,34,352,10.35,2,32,52.30%,5.42
Scott Chandler,2011,BUF,NFL,14,9,46,38,389,10.24,6,27.8,82.60%,8.46
Scott Chandler,2012,BUF,NFL,15,13,74,43,571,13.28,6,38.1,58.10%,7.72
Scott Chandler,2013,BUF,NFL,16,7,81,53,655,12.36,2,40.9,65.40%,8.09
Scott Chandler,2014,BUF,NFL,16,5,70,47,497,10.57,3,31.1,67.10%,7.1
Garrett Celek,2016,SFO,NFL,16,6,50,29,350,12.07,3,21.9,58.00%,7
Brent Celek,2010,PHI,NFL,16,15,79,42,511,12.17,4,31.9,53.20%,6.47
Brent Celek,2011,PHI,NFL,16,16,98,62,811,13.08,5,50.7,63.30%,8.28
Brent Celek,2012,PHI,NFL,15,14,88,57,684,12,1,45.6,64.80%,7.77
Brent Celek,2013,PHI,NFL,16,15,51,32,502,15.69,6,31.4,62.70%,9.84
Brent Celek,2014,PHI,NFL,16,15,51,32,340,10.63,1,21.3,62.70%,6.67
Brent Celek,2015,PHI,NFL,16,13,35,27,398,14.74,3,24.9,77.10%,11.37
John Carlson,2010,SEA,NFL,15,13,58,31,318,10.26,1,21.2,53.40%,5.48
John Carlson,2013,MIN,NFL,13,8,48,32,344,10.75,1,26.5,66.70%,7.17
John Carlson,2014,ARI,NFL,16,12,55,33,350,10.61,1,21.9,60.00%,6.36
Jordan Cameron,2013,CLE,NFL,15,14,118,80,917,11.46,7,61.1,67.80%,7.77
Jordan Cameron,2015,MIA,NFL,16,16,70,35,386,11.03,3,24.1,50.00%,5.51
Trey Burton,2016,PHI,NFL,15,4,60,37,327,8.84,1,21.8,61.70%,5.45
Trey Burton,2018,CHI,NFL,16,16,76,54,569,10.54,6,35.6,71.10%,7.49
Cameron Brate,2016,TAM,NFL,15,10,81,57,660,11.58,8,44,70.40%,8.15
Cameron Brate,2017,TAM,NFL,16,6,77,48,591,12.31,6,36.9,62.30%,7.68
Cameron Brate,2018,TAM,NFL,16,2,49,30,289,9.63,6,18.1,61.20%,5.9
Cameron Brate,2019,TAM,NFL,16,6,55,36,311,8.64,4,19.4,65.50%,5.65
Nick Boyle,2017,BAL,NFL,15,11,37,28,203,7.25,0,13.5,75.70%,5.49
Nick Boyle,2019,BAL,NFL,16,15,43,31,321,10.35,2,20.1,72.10%,7.47
Kevin Boss,2010,NYG,NFL,15,13,70,35,531,15.17,5,35.4,50.00%,7.59
Kevin Boss,2011,OAK,NFL,14,11,40,28,368,13.14,3,26.3,70.00%,9.2
Martellus Bennett,2013,CHI,NFL,16,15,94,65,759,11.68,5,47.4,69.10%,8.07
Martellus Bennett,2014,CHI,NFL,16,15,128,90,916,10.18,6,57.3,70.30%,7.16
Martellus Bennett,2015,CHI,NFL,11,11,80,53,439,8.28,3,39.9,66.30%,5.49
Martellus Bennett,2016,NWE,NFL,16,12,73,55,701,12.75,7,43.8,75.30%,9.6
Martellus Bennett,2010,DAL,NFL,16,11,47,33,260,7.88,0,16.3,70.20%,5.53
Martellus Bennett,2017,2TM,NFL,9,7,44,30,286,9.53,0,31.8,68.20%,6.5
Martellus Bennett,2012,NYG,NFL,16,16,89,55,626,11.38,5,39.1,61.80%,7.03
Gary Barnidge,2015,CLE,NFL,16,13,125,79,1043,13.2,9,65.2,63.20%,8.34
Gary Barnidge,2016,CLE,NFL,16,16,82,55,612,11.13,2,38.3,67.10%,7.46
Jake Ballard,2011,NYG,NFL,14,13,61,38,604,15.89,4,43.1,62.30%,9.9
Mark Andrews,2018,BAL,NFL,16,3,50,34,552,16.24,3,34.5,68.00%,11.04
Mark Andrews,2019,BAL,NFL,15,4,98,64,852,13.31,10,56.8,65.30%,8.69
Stephen Anderson,2017,HOU,NFL,15,5,52,25,342,13.68,1,22.8,48.10%,6.58
Jace Amaro,2014,NYJ,NFL,14,4,53,38,345,9.08,2,24.6,71.70%,6.51
Dwayne Allen,2016,IND,NFL,14,14,52,35,406,11.6,6,29,67.30%,7.81
Dwayne Allen,2014,IND,NFL,13,13,50,29,395,13.62,8,30.4,58.00%,7.9
Jordan Akins,2019,HOU,NFL,16,9,55,36,418,11.61,2,26.1,65.50%,7.6
