Player,Year,Tm,Games,Games Started,Rush Att,Rush Yds,Yards /Att,TD,Yds/Game,Targets,Receptions,Yds,Rec Y/R,Rec TD,Rec Y/G,Rec Ctch%,Rec Y/Tgt
Ahmad Bradshaw,2012,NYG,14,12,221,1015,4.59,6,72.5,31,23,245,10.65,0,17.5,74.20%,7.9
LeGarrette Blount,2010,TAM,13,7,201,1007,5.01,6,77.5,7,5,14,2.8,0,1.1,71.40%,2
LeGarrette Blount,2011,TAM,14,14,184,781,4.24,5,55.8,25,15,148,9.87,0,10.6,60.00%,5.92
LeGarrette Blount,2013,NWE,16,7,153,772,5.05,7,48.3,5,2,38,19,0,2.4,40.00%,7.6
LeGarrette Blount,2015,NWE,12,6,165,703,4.26,6,58.6,7,6,43,7.17,1,3.6,85.70%,6.14
LeGarrette Blount,2016,NWE,16,8,299,1161,3.88,18,72.6,8,7,38,5.43,0,2.4,87.50%,4.75
LeGarrette Blount,2017,PHI,16,11,173,766,4.43,2,47.9,8,8,50,6.25,1,3.1,100.00%,6.25
Giovani Bernard,2015,CIN,16,1,154,730,4.74,2,45.6,66,49,472,9.63,0,29.5,74.20%,7.15
Cedric Benson,2010,CIN,16,16,321,1111,3.46,7,69.4,37,28,178,6.36,1,11.1,75.70%,4.81
Cedric Benson,2011,CIN,15,15,273,1067,3.91,6,71.1,22,15,82,5.47,0,5.5,68.20%,3.73
Le'Veon Bell,2013,PIT,13,13,244,860,3.52,8,66.2,66,45,399,8.87,0,30.7,68.20%,6.05
Le'Veon Bell,2014,PIT,16,16,290,1361,4.69,8,85.1,105,83,854,10.29,3,53.4,79.00%,8.13
Le'Veon Bell,2016,PIT,12,12,261,1268,4.86,7,105.7,94,75,616,8.21,2,51.3,79.80%,6.55
Le'Veon Bell,2017,PIT,15,15,321,1291,4.02,9,86.1,106,85,655,7.71,2,43.7,80.20%,6.18
Le'Veon Bell,2019,NYJ,15,15,245,789,3.22,3,52.6,78,66,461,6.98,1,30.7,84.60%,5.91
Joique Bell,2014,DET,15,6,223,860,3.86,7,57.3,53,34,322,9.47,1,21.5,64.20%,6.08
Saquon Barkley,2018,NYG,16,16,261,1307,5.01,11,81.7,121,91,721,7.92,4,45.1,75.20%,5.96
Saquon Barkley,2019,NYG,13,13,217,1003,4.62,6,77.2,73,52,438,8.42,2,33.7,71.20%,6
Peyton Barber,2018,TAM,16,16,234,871,3.72,5,54.4,29,20,92,4.6,1,5.8,69.00%,3.17
Vick Ballard,2012,IND,16,12,211,814,3.86,2,50.9,27,17,152,8.94,1,9.5,63.00%,5.63
C.J. Anderson,2014,DEN,15,7,179,849,4.74,8,56.6,44,34,324,9.53,2,21.6,77.30%,7.36
C.J. Anderson,2015,DEN,15,6,152,720,4.74,5,48,36,25,183,7.32,0,12.2,69.40%,5.08
C.J. Anderson,2017,DEN,16,16,245,1007,4.11,3,62.9,40,28,224,8,1,14,70.00%,5.6
Jay Ajayi,2016,MIA,15,12,260,1272,4.89,8,84.8,35,27,151,5.59,0,10.1,77.10%,4.31
Jay Ajayi,2017,2TM,14,8,208,873,4.2,1,62.4,34,24,158,6.58,1,11.3,70.60%,4.65
